size, time
3072, 862239
3072, 339219
3072, 379011
3072, 359323
3072, 334687
3072, 305469
3072, 317865
3072, 323334
3072, 364322
3072, 280000
3072, 298906
3072, 297292
3072, 321979
3072, 313907
3072, 272760
3072, 268542
3072, 305261
3072, 340364
3072, 268073
3072, 310104
3072, 271823
3072, 265573
3072, 310833
3072, 352969
3072, 267396
3072, 313802
3072, 268437
3072, 273073
3072, 305625
3072, 270573
3072, 271302
3072, 307656
3072, 266718
3072, 271250
3072, 311667
3072, 273125
3072, 505782
3072, 500573
3072, 514791
3072, 504583
3072, 492552
3072, 511094
3072, 271927
3072, 312552
3072, 271041
3072, 307083
3072, 309688
3072, 269531
3072, 303698
3072, 308021
12288, 1421979
12288, 637813
12288, 668437
12288, 1106302
12288, 535625
12288, 552240
12288, 602500
12288, 566823
12288, 575729
12288, 558229
12288, 567396
12288, 649999
12288, 569532
12288, 581146
12288, 555625
12288, 557344
12288, 570730
12288, 580208
12288, 589531
12288, 551666
12288, 522136
12288, 562917
12288, 518438
12288, 518334
12288, 1003854
12288, 958906
12288, 494844
12288, 518021
12288, 497239
12288, 541718
12288, 510469
12288, 501354
12288, 545209
12288, 510209
12288, 501563
12288, 542813
12288, 507031
12288, 1096614
12288, 996771
12288, 980365
12288, 615260
12288, 498802
12288, 539844
12288, 571354
12288, 579375
12288, 680052
12288, 498177
12288, 561250
12288, 559063
12288, 563489
27648, 2167760
27648, 2098177
27648, 1108906
27648, 1108854
27648, 1202604
27648, 1005313
27648, 1100209
27648, 991407
27648, 910469
27648, 994635
27648, 953802
27648, 873125
27648, 944427
27648, 1061302
27648, 1638594
27648, 1670520
27648, 1642656
27648, 883437
27648, 940990
27648, 906250
27648, 862917
27648, 938802
27648, 911979
27648, 858490
27648, 971927
27648, 984636
27648, 955052
27648, 943177
27648, 1044844
27648, 997291
27648, 877187
27648, 903646
27648, 993541
27648, 975364
27648, 958073
27648, 1735677
27648, 866771
27648, 891667
27648, 978385
27648, 860782
27648, 886094
27648, 996354
27648, 856771
27648, 941563
27648, 985469
27648, 851770
27648, 880104
27648, 1675364
27648, 1679636
27648, 1814792
49152, 3447083
49152, 1690469
49152, 1640104
49152, 1482448
49152, 1741094
49152, 1537396
49152, 1509219
49152, 1539271
49152, 1520468
49152, 1501302
49152, 2176563
49152, 1437396
49152, 1587448
49152, 1549427
49152, 1377083
49152, 1521875
49152, 1662656
49152, 1591406
49152, 2221511
49152, 1510000
49152, 2231250
49152, 1426042
49152, 1521198
49152, 1641094
49152, 1538489
49152, 1531250
49152, 1558334
49152, 1660520
49152, 1498229
49152, 1491041
49152, 1500678
49152, 1525521
49152, 1550833
49152, 1683595
49152, 1493750
49152, 1485625
49152, 2794427
49152, 2883281
49152, 2562084
49152, 1408177
49152, 1444479
49152, 1647083
49152, 1667865
49152, 1508542
49152, 1485833
49152, 1491823
49152, 1499166
49152, 1648438
49152, 1599584
49152, 2955000
76800, 4813177
76800, 2725885
76800, 2916042
76800, 2237708
76800, 2175573
76800, 2163334
76800, 2125989
76800, 2178594
76800, 2273802
76800, 2160469
76800, 2162500
76800, 2180990
76800, 2179896
76800, 2223125
76800, 2188698
76800, 2163489
76800, 2134114
76800, 2146719
76800, 2175313
76800, 2190833
76800, 2258542
76800, 2154010
76800, 2202813
76800, 2256302
76800, 2052917
76800, 2146875
76800, 2147604
76800, 2202396
76800, 2196927
76800, 2218802
76800, 2335990
76800, 2211354
76800, 2213386
76800, 2324531
76800, 2212552
76800, 4055208
76800, 4225781
76800, 4070260
76800, 2206510
76800, 2290157
76800, 2228334
76800, 2204271
76800, 2328178
76800, 2220781
76800, 2160573
76800, 2212083
76800, 2206458
76800, 2242812
76800, 2211719
76800, 4134947
110592, 7581458
110592, 4512658
110592, 4214999
110592, 3837708
110592, 3857605
110592, 3534115
110592, 3603854
110592, 3513124
110592, 3749583
110592, 3510677
110592, 3795261
110592, 3518229
110592, 3478386
110592, 3481614
110592, 3541562
110592, 3375312
110592, 3330730
110592, 3397711
110592, 3460781
110592, 3310885
110592, 3142657
110592, 3227552
110592, 3224428
110592, 3411146
110592, 3441355
110592, 3376459
110592, 3370729
110592, 3247968
110592, 3434584
110592, 3208751
110592, 3401407
110592, 3556874
110592, 3184896
110592, 3314375
110592, 3434477
110592, 3209011
110592, 6223385
110592, 3530468
110592, 3269427
110592, 3302918
110592, 3577083
110592, 3201615
110592, 3260677
110592, 3548333
110592, 3209998
110592, 3266302
110592, 3541824
110592, 3235988
110592, 5952971
110592, 3466561
150528, 10024219
150528, 5914949
150528, 5219376
150528, 5391198
150528, 4996823
150528, 4796406
150528, 5393593
150528, 5352292
150528, 5352707
150528, 4680260
150528, 5442500
150528, 5489586
150528, 5346041
150528, 5448280
150528, 5464062
150528, 4957761
150528, 4843074
150528, 4595833
150528, 4911197
150528, 5202032
150528, 4885261
150528, 4351720
150528, 5263489
150528, 4752396
150528, 4685937
150528, 5068696
150528, 4521980
150528, 4761354
150528, 4543334
150528, 4762551
150528, 4452656
150528, 4514426
150528, 4353801
150528, 4429114
150528, 4458906
150528, 4383438
150528, 8234063
150528, 4579583
150528, 4595053
150528, 4737396
150528, 4582290
150528, 4636563
150528, 4773541
150528, 4583541
150528, 4524271
150528, 4755002
150528, 4560469
150528, 4581302
150528, 7768125
150528, 7924010
196608, 13340364
196608, 7181248
196608, 5806301
196608, 6481823
196608, 5576667
196608, 5982552
196608, 5944742
196608, 6056147
196608, 6973595
196608, 6551876
196608, 6338230
196608, 5470625
196608, 5510936
196608, 7470417
196608, 5893959
196608, 6227656
196608, 6521562
196608, 6951093
196608, 5795833
196608, 7602654
196608, 6648229
196608, 6841354
196608, 5952761
196608, 6117186
196608, 6498751
196608, 6238594
196608, 5780105
196608, 6388178
196608, 6113283
196608, 6014792
196608, 5875988
196608, 5985000
196608, 5907968
196608, 5840937
196608, 5941614
196608, 5731303
196608, 6039063
196608, 6109062
196608, 6089427
196608, 6316770
196608, 5966615
196608, 6269531
196608, 6049012
196608, 6131458
196608, 6035416
196608, 9985990
196608, 10727292
196608, 10237551
196608, 6240988
196608, 5977240
248832, 14529896
248832, 7574427
248832, 6623439
248832, 6440313
248832, 6537083
248832, 6355572
248832, 6230573
248832, 6023385
248832, 6242968
248832, 7014271
248832, 7120053
248832, 7567813
248832, 8217342
248832, 7147969
248832, 7727656
248832, 6364790
248832, 6955990
248832, 6245052
248832, 6749530
248832, 11335729
248832, 11923542
248832, 6239220
248832, 7119479
248832, 6556250
248832, 7669323
248832, 6420158
248832, 6739115
248832, 6696771
248832, 6529115
248832, 6365415
248832, 6595989
248832, 6513957
248832, 6520783
248832, 6851562
248832, 11222187
248832, 12186719
248832, 11707082
248832, 6625261
248832, 6431824
248832, 6635314
248832, 6657083
248832, 6709218
248832, 6659740
248832, 6790885
248832, 6459426
248832, 6871928
248832, 6513020
248832, 6720677
248832, 11362708
248832, 6883437
307200, 15841302
307200, 7813438
307200, 7868542
307200, 8069323
307200, 6464010
307200, 6598074
307200, 6610260
307200, 6577447
307200, 7607396
307200, 7308542
307200, 7235260
307200, 6984584
307200, 6629479
307200, 7021771
307200, 6790260
307200, 6616874
307200, 6817708
307200, 6585677
307200, 6846146
307200, 6647446
307200, 7013177
307200, 7287084
307200, 6965730
307200, 7129479
307200, 7212552
307200, 6705991
307200, 6881666
307200, 6525001
307200, 6689271
307200, 6709425
307200, 6634738
307200, 6427396
307200, 6544272
307200, 6339532
307200, 11773386
307200, 12637240
307200, 13159426
307200, 7408802
307200, 7297343
307200, 6897501
307200, 7327760
307200, 7041873
307200, 7135105
307200, 7189792
307200, 7349011
307200, 6872134
307200, 7347136
307200, 7043332
307200, 7266875
307200, 6336770
307200, 18176929
307200, 17503233
307200, 16952551
307200, 17800675
307200, 15954064
307200, 15205261
307200, 14971876
307200, 17537447
307200, 16574271
307200, 14717344
307200, 15029167
307200, 15313437
307200, 15118386
307200, 15638489
307200, 16441718
307200, 15846406
307200, 14999166
307200, 14447241
307200, 15333229
307200, 15532657
307200, 16093699
307200, 15189634
307200, 15004947
307200, 14834479
307200, 15197707
307200, 15454373
307200, 15967656
307200, 14984948
307200, 15009739
307200, 15126093
307200, 15025782
307200, 16731250
307200, 15395572
307200, 14408021
307200, 17879479
307200, 15221770
307200, 16267447
307200, 15290469
307200, 16638074
307200, 17672552
307200, 15626407
307200, 15184478
307200, 15557344
307200, 14435520
307200, 14795833
307200, 15151146
307200, 16160260
307200, 15889270
307200, 15170520
307200, 14821249
